Week,R01.%ILI,R02.%ILI,R03.%ILI,R04.%ILI,R05.%ILI,R06.%ILI,R07.%ILI,R08.%ILI,R09.%ILI,R10.%ILI,USA.%ILI,R01.Tmax,R01.Tmin,R01.prcp,R02.Tmax,R02.Tmin,R02.prcp,R03.Tmax,R03.Tmin,R03.prcp,R04.Tmax,R04.Tmin,R04.prcp,R05.Tmax,R05.Tmin,R05.prcp,R06.Tmax,R06.Tmin,R06.prcp,R07.Tmax,R07.Tmin,R07.prcp,R08.Tmax,R08.Tmin,R08.prcp,R09.Tmax,R09.Tmin,R09.prcp,R10.Tmax,R10.Tmin,R10.prcp,USA.Tmax,USA.Tmin,USA.prcp,R01.tweets,R02.tweets,R03.tweets,R04.tweets,R05.tweets,R06.tweets,R07.tweets,R08.tweets,R09.tweets,R10.tweets,USA.tweets
1997.4,0.62,0.38,1.34,0.45,0.9,0.75,1.15,0.42,2.26,4.83,1.22,15.6,4.42,3.21,17.64,6.35,5.01,20.02,7.83,3.89,24.4,11.74,1.91,21.25,8.39,0.71,29.97,14.37,0.21,27.85,10.49,0.05,23.24,5.37,0.44,28.82,12.98,0.59,18.64,7.21,6.02,24.22,9.66,1.5,,,,,,,,,,,
1997.41,0.82,0.23,1.53,0.39,1.08,0.88,0.65,0.72,2.57,3.96,1.28,20.72,6.11,1.09,22.37,9.27,1.1,25.85,11.3,0.2,26.82,14.03,0.3,23.78,10.4,1.36,26.72,16.13,6.08,25.9,12.47,1.64,18.69,2.52,1.92,21.45,7.91,2.3,11.11,2.41,6.16,22.97,9.89,2.41,,,,,,,,,,,
1997.42,1.23,0.13,2.19,0.47,1.06,0.9,0.61,0.25,2.42,2.18,1.24,15.53,3.17,0.29,15.93,3.62,0.9,18.48,5.84,2.24,21.32,11.01,2.85,15.76,3.74,2.51,22.19,7.37,4.03,18.78,4.58,4.9,15.51,-0.94,1.41,25.24,7.45,0.06,16.21,3.5,0.91,18.93,5.17,2.41,,,,,,,,,,,
1997.43,1.62,0.22,1.7,0.17,1.0,1.06,0.69,0.42,2.64,0.61,1.14,10.53,-1.45,1.02,10.32,0.56,2.19,13.05,1.21,2.42,18.39,6.41,4.43,10.01,0.44,0.86,21.7,8.65,2.81,13.66,2.98,2.96,10.26,-2.97,2.78,20.99,6.43,0.34,12.83,0.41,0.56,14.94,2.88,2.33,,,,,,,,,,,
1997.44,0.78,2.89,1.05,0.47,1.35,1.69,0.5,0.35,3.15,1.11,1.26,9.79,-0.41,5.0,12.04,1.14,3.85,13.9,2.03,3.9,18.09,6.9,8.31,10.45,1.04,2.92,19.57,5.73,0.81,12.06,-0.56,3.15,9.7,-3.41,1.04,21.59,5.54,0.33,11.76,3.0,9.58,14.42,2.34,3.56,,,,,,,,,,,
1997.45,0.83,2.71,0.15,0.57,1.54,1.92,0.5,0.27,2.21,2.85,1.28,12.98,2.82,7.87,11.92,2.46,6.03,11.61,2.02,9.47,15.27,5.29,2.57,6.41,0.93,1.82,19.45,4.02,0.85,9.56,0.16,0.83,11.04,-3.2,0.29,23.18,6.89,0.27,12.82,3.22,2.21,13.57,2.21,2.12,,,,,,,,,,,
1997.46,0.61,1.98,1.77,0.65,1.34,2.12,0.85,1.58,2.86,2.9,1.45,5.02,-1.78,7.23,5.08,-1.4,5.9,7.2,1.07,4.15,12.79,4.68,4.95,3.02,-3.09,1.62,11.07,2.97,5.1,3.04,-4.68,0.82,0.15,-10.68,1.35,14.39,4.54,3.6,9.18,-0.91,0.26,7.15,-1.17,3.13,,,,,,,,,,,
1997.47,0.71,3.05,1.82,0.72,1.65,2.61,0.93,2.17,3.02,1.26,1.65,4.18,-6.17,1.95,4.62,-3.86,2.24,7.65,-3.3,2.28,13.29,1.16,2.31,2.73,-5.66,0.96,12.85,0.67,0.61,8.64,-5.6,0.03,3.49,-8.65,0.73,15.45,3.27,2.26,7.04,0.13,6.63,8.54,-2.71,1.65,,,,,,,,,,,
1997.48,1.05,0.2,1.94,0.69,2.07,2.45,0.58,0.64,2.83,1.14,1.68,2.88,-5.79,2.28,5.24,-2.57,1.42,9.24,-0.59,0.71,16.19,3.55,1.46,6.88,-2.65,1.4,18.79,5.82,1.89,12.59,-0.16,2.08,7.43,-5.74,1.22,15.9,4.07,4.69,7.43,0.41,5.49,11.67,0.24,2.1,,,,,,,,,,,
1997.49,1.2,0.96,1.68,0.7,1.78,2.7,0.86,3.42,2.19,1.04,1.62,3.74,-3.94,2.99,4.84,-2.19,2.47,8.33,-0.45,2.32,13.72,4.2,5.14,3.33,-1.73,2.05,12.43,1.44,1.89,3.79,-4.15,2.33,1.83,-9.92,0.54,12.53,2.14,4.18,5.63,-2.79,0.82,7.5,-1.66,2.45,,,,,,,,,,,
1997.5,1.0,1.26,1.91,1.1,1.98,2.55,1.54,1.77,2.62,1.29,1.77,1.72,-7.52,0.49,1.83,-3.66,2.21,4.0,-2.13,1.83,9.62,1.77,3.95,0.57,-3.53,1.49,9.76,-0.1,1.89,0.85,-5.33,1.28,0.4,-10.27,1.24,10.15,-0.34,3.65,3.68,-3.46,2.5,4.76,-3.24,2.14,,,,,,,,,,,
1997.51,0.91,3.61,2.25,1.14,1.89,3.86,1.21,1.16,3.97,2.55,2.1,3.94,-8.53,0.16,5.88,-5.17,0.19,9.05,-4.53,0.01,13.13,-0.48,1.23,5.92,-3.99,0.04,16.0,-0.99,1.62,9.63,-3.69,0.02,5.3,-7.85,0.32,12.52,0.48,2.07,4.61,-2.39,8.17,9.52,-3.3,1.28,,,,,,,,,,,
